104,-5,-22,6,-0.24,-1.05,0.29,0,0,0
207,-5,-23,6,-0.24,-1.1,0.29,0,0,0
310,-4,-22,6,-0.19,-1.05,0.29,0,0,0
412,-5,-23,4,-0.24,-1.1,0.19,0,0,0
516,-1,-23,6,-0.05,-1.1,0.29,0,0,0
618,0,-23,5,0,-1.1,0.24,0,0,0
720,0,-24,4,0,-1.14,0.19,0,0,0
824,-1,-24,6,-0.05,-1.14,0.29,0,0,0
926,2,-23,5,0.1,-1.1,0.24,0,0,0
1029,3,-23,5,0.14,-1.1,0.24,0,0,0
1132,0,-23,5,0,-1.1,0.24,0,0,0
1234,1,-23,5,0.05,-1.1,0.24,0,0,0
1338,0,-21,4,0,-1,0.19,0,0,0
1440,1,-22,6,0.05,-1.05,0.29,0,0,0
1543,1,-22,5,0.1,-1.1,0.29,0,0,0
1646,1,-23,5,0.05,-1.1,0.24,0,0,0
1748,1,-23,5,0.05,-1.1,0.24,0,0,0
1851,0,-22,5,0,-1.05,0.24,0,0,0
1954,2,-22,5,0.1,-1.05,0.24,0,0,0
2057,2,-23,5,0.1,-1.1,0.24,0,0,0
2160,1,-22,4,0.05,-1.05,0.19,0,0,0
2263,1,-23,5,0.05,-1.1,0.24,0,0,0
2365,3,-21,5,0.14,-1,0.24,0,0,0
2468,2,-24,6,0.1,-1.14,0.29,0,0,0
2571,2,-22,5,0.1,-1.05,0.24,0,0,0
2673,2,-23,5,0.1,-1.1,0.24,0,0,0
2777,2,-23,5,0.1,-1.1,0.24,0,0,0
2879,3,-24,5,0.14,-1.14,0.24,0,0,0
2982,4,-22,5,0.19,-1.05,0.24,0,0,0
3085,2,-22,6,0.1,-1.05,0.29,0,0,0
3187,2,-22,5,0.1,-1.05,0.24,0,0,0
3291,3,-20,5,0.14,-0.95,0.24,0,0,0
3393,3,-24,4,0.14,-1.14,0.19,0,0,0
3496,3,-23,6,0.14,-1.1,0.29,0,0,0
3599,2,-23,5,0.1,-1.1,0.24,0,0,0
3701,2,-21,7,0.1,-1.0,0.33,0,0,0
3805,1,-21,6,0.05,-1.0,0.29,0,0,0
3907,2,-23,4,0.1,-1.1,0.19,0,0,0
4009,3,-22,5,0.14,-1.05,0.24,0,0,0
4113,2,-21,5,0.1,-1.0,0.24,0,0,0
4215,2,-20,6,0.1,-0.95,0.29,0,0,0
4319,2,-23,5,0.1,-1.1,0.24,0,0,0
4421,3,-22,6,0.14,-1.05,0.29,0,0,0
4524,3,-22,5,0.14,-1.05,0.24,0,0,0
4627,3,-22,7,0.14,-1.05,0.33,0,0,0
4729,2,-23,5,0.1,-1.1,0.24,0,0,0
4833,2,-23,5,0.1,-1.1,0.24,0,0,0
4935,2,-22,6,0.1,-1.05,0.29,0,0,0
5038,3,-24,5,0.14,-1.14,0.24,0,0,0
5141,3,-21,6,0.14,-1.0,0.29,0,0,0
5243,3,-22,6,0.14,-1.05,0.29,0,0,0
5346,5,-21,8,0.24,-1.0,0.38,0,0,0
5449,3,-21,6,0.14,-1.0,0.24,0,0,0
5552,3,-23,5,0.14,-1.1,0.24,0,0,0
5655,6,-23,6,0.29,-1.1,0.29,0,0,0
5757,7,-21,7,0.33,-1.0,0.33,0,0,0
5860,6,-20,8,0.29,-0.95,0.38,0,0,0
5963,4,-22,6,0.19,-1.05,0.29,0,0,0
6066,4,-21,6,0.19,-1.0,0.29,0,0,0
6169,3,-23,9,0.14,-1.1,0.43,0,0,0
6272,2,-22,11,0.1,-1.05,0.52,0,0,0
6374,1,-18,6,0.05,-0.86,0.29,0,0,0
6477,4,-21,2,0.19,-1.0,0.1,0,0,0
