104,3,-22,6,0.14,-1.05,0.29,0,0,0
207,2,-22,6,0.1,-1.05,0.29,0,0,0
310,4,-20,5,0.19,-0.95,0.24,0,0,0
412,4,-22,6,0.19,-1.05,0.29,0,0,0
516,2,-21,5,0.1,-1.0,0.24,0,0,0
618,4,-20,5,0.19,-0.95,0.24,0,0,0
720,3,-17,4,0.14,-0.81,0.19,0,0,0
824,5,-15,7,0.24,-0.71,0.33,0,0,0
926,9,-13,12,0.43,-0.62,0.57,0,0,0
1029,15,-13,9,0.71,-0.62,0.43,0,0,0
1132,21,-13,9,1.0,-0.62,0.43,0,0,0
1234,21,-11,11,1.0,-0.52,0.52,0,0,0
1338,21,-9,9,1.0,-0.43,0.43,0,0,0
1440,21,-8,8,1.0,-0.38,0.38,0,0,0
1544,20,-6,9,0.95,-0.24,0.52,0,0,0
1646,22,-8,11,1.05,-0.38,0.52,0,0,0
1748,20,-9,10,0.95,-0.43,0.48,0,0,0
1852,18,-8,9,0.86,-0.38,0.43,0,0,0
1954,16,-9,7,0.76,-0.43,0.33,0,0,0
2058,15,-8,8,0.71,-0.38,0.38,0,0,0
2160,13,-9,8,0.62,-0.43,0.38,0,0,0
2263,20,-9,10,0.95,-0.43,0.48,0,0,0
2366,21,-7,10,1.0,-0.33,0.48,0,0,0
2468,18,-8,9,0.86,-0.38,0.43,0,0,0
2572,22,-7,12,1.05,-0.33,0.57,0,0,0
2674,17,-7,10,0.81,-0.33,0.48,0,0,0
2777,18,-7,10,0.86,-0.33,0.48,0,0,0
2880,20,-5,10,0.95,-0.24,0.48,0,0,0
2982,22,-5,8,1.05,-0.24,0.38,0,0,0
3086,20,-5,8,0.95,-0.24,0.38,0,0,0
3188,19,-8,7,0.9,-0.38,0.33,0,0,0
3291,18,-10,8,0.86,-0.48,0.38,0,0,0
3394,15,-12,8,0.71,-0.57,0.38,0,0,0
3496,16,-14,7,0.76,-0.67,0.33,0,0,0
3600,16,-15,8,0.76,-0.71,0.38,0,0,0
3702,18,-12,8,0.86,-0.57,0.38,0,0,0
3806,20,-11,9,0.95,-0.52,0.43,0,0,0
3908,16,-9,8,0.76,-0.43,0.38,0,0,0
4011,11,-11,8,0.52,-0.52,0.48,0,0,0
4114,15,-14,9,0.71,-0.67,0.43,0,0,0
4216,15,-14,12,0.71,-0.67,0.57,0,0,0
4320,12,-12,11,0.57,-0.57,0.52,0,0,0
4422,17,-17,10,0.81,-0.81,0.48,0,0,0
4526,14,-17,9,0.67,-0.81,0.43,0,0,0
4628,13,-17,9,0.62,-0.81,0.43,0,0,0
4731,13,-14,9,0.62,-0.67,0.43,0,0,0
4834,15,-13,13,0.71,-0.62,0.62,0,0,0
4937,11,-15,13,0.52,-0.71,0.62,0,0,0
5040,12,-14,12,0.57,-0.67,0.57,0,0,0
5142,11,-13,12,0.52,-0.62,0.57,0,0,0
5245,12,-15,14,0.57,-0.71,0.67,0,0,0
5348,10,-14,16,0.48,-0.67,0.76,0,0,0
5451,8,-15,15,0.38,-0.71,0.71,0,0,0
5554,9,-15,14,0.43,-0.71,0.67,0,0,0
5657,8,-14,16,0.38,-0.67,0.76,0,0,0
5760,10,-14,15,0.48,-0.67,0.71,0,0,0
5863,8,-14,12,0.38,-0.67,0.57,0,0,0
5965,10,-16,15,0.48,-0.76,0.71,0,0,0
6069,8,-14,12,0.38,-0.67,0.57,0,0,0
6171,10,-13,15,0.48,-0.62,0.71,0,0,0
6275,9,-11,14,0.43,-0.52,0.67,0,0,0
6377,8,-22,12,0.38,-1.05,0.57,0,0,0
6479,7,-18,13,0.33,-0.86,0.67,0,0,0
6583,7,-15,13,0.33,-0.71,0.62,0,0,0
6685,7,-14,12,0.33,-0.67,0.57,0,0,0
6789,10,-16,15,0.48,-0.76,0.71,0,0,0
6891,7,-15,13,0.33,-0.71,0.62,0,0,0
6994,6,-16,13,0.29,-0.76,0.62,0,0,0
7097,8,-16,13,0.38,-0.76,0.62,0,0,0
7199,8,-16,13,0.38,-0.76,0.62,0,0,0
7303,7,-13,14,0.33,-0.62,0.67,0,0,0
7405,7,-17,13,0.33,-0.81,0.62,0,0,0
7508,7,-16,14,0.33,-0.76,0.67,0,0,0
7611,8,-17,13,0.38,-0.81,0.62,0,0,0
7714,8,-16,13,0.38,-0.76,0.62,0,0,0
7817,7,-16,13,0.33,-0.76,0.62,0,0,0
7919,7,-16,13,0.33,-0.76,0.62,0,0,0
8023,9,-17,13,0.43,-0.81,0.62,0,0,0
8125,7,-16,12,0.33,-0.76,0.57,0,0,0
8228,8,-16,13,0.38,-0.76,0.62,0,0,0
8331,9,-15,13,0.43,-0.71,0.62,0,0,0
8434,8,-15,14,0.38,-0.71,0.67,0,0,0
8537,9,-15,15,0.43,-0.71,0.71,0,0,0
8640,7,-14,14,0.33,-0.67,0.67,0,0,0
8742,7,-16,14,0.33,-0.76,0.67,0,0,0
8845,7,-14,15,0.33,-0.67,0.71,0,0,0
8948,8,-14,14,0.43,-0.67,0.76,0,0,0
9051,9,-12,16,0.43,-0.57,0.76,0,0,0
9154,10,-13,15,0.48,-0.62,0.71,0,0,0
9256,11,-12,15,0.52,-0.57,0.71,0,0,0
9360,13,-9,15,0.62,-0.43,0.71,0,0,0
9462,13,-6,16,0.62,-0.29,0.76,0,0,0
9566,14,-9,17,0.67,-0.43,0.81,0,0,0
9668,10,-7,14,0.48,-0.33,0.67,0,0,0
9771,11,-8,16,0.52,-0.38,0.76,0,0,0
9874,10,-9,14,0.48,-0.43,0.67,0,0,0
9976,11,-10,14,0.52,-0.48,0.67,0,0,0
10080,11,-11,16,0.52,-0.52,0.76,0,0,0
10182,13,-10,15,0.62,-0.48,0.71,0,0,0
10286,12,-11,14,0.57,-0.52,0.67,0,0,0
10388,15,-13,16,0.71,-0.62,0.76,0,0,0
10491,13,-10,14,0.62,-0.48,0.67,0,0,0
10594,15,-10,13,0.71,-0.48,0.62,0,0,0
10697,17,-5,12,0.81,-0.24,0.57,0,0,0
10800,13,-8,13,0.62,-0.38,0.62,0,0,0
10903,16,-6,15,0.76,-0.29,0.71,0,0,0
11005,18,-7,11,0.86,-0.33,0.52,0,0,0
11109,17,-5,11,0.81,-0.24,0.52,0,0,0
11211,20,-6,14,0.95,-0.29,0.67,0,0,0
11315,18,-8,13,0.86,-0.38,0.62,0,0,0
11417,15,-5,15,0.71,-0.24,0.71,0,0,0
11521,19,-3,13,0.9,-0.14,0.62,0,0,0
11623,15,-5,14,0.71,-0.24,0.67,0,0,0
11726,13,-4,14,0.62,-0.19,0.67,0,0,0
11829,18,-7,15,0.86,-0.33,0.71,0,0,0
11932,15,-6,15,0.71,-0.29,0.71,0,0,0
12035,15,-6,12,0.71,-0.29,0.57,0,0,0
12138,18,-6,13,0.86,-0.29,0.62,0,0,0
12240,21,-6,14,1.0,-0.29,0.67,0,0,0
12344,19,-5,13,0.9,-0.24,0.62,0,0,0
12446,20,-4,13,0.95,-0.19,0.62,0,0,0
12549,15,-3,10,0.71,-0.14,0.48,0,0,0
12652,17,-6,11,0.81,-0.29,0.52,0,0,0
12754,16,-6,14,0.76,-0.29,0.67,0,0,0
12858,17,-2,13,0.81,-0.1,0.62,0,0,0
12960,19,-5,14,0.9,-0.24,0.67,0,0,0
13064,14,-5,14,0.67,-0.24,0.67,0,0,0
13166,19,-4,13,0.9,-0.29,0.52,0,0,0
13270,15,-4,12,0.71,-0.19,0.57,0,0,0
13372,16,-5,12,0.76,-0.24,0.57,0,0,0
13475,15,-5,12,0.71,-0.24,0.57,0,0,0
13578,17,-6,13,0.81,-0.29,0.62,0,0,0
13681,18,-8,13,0.86,-0.38,0.62,0,0,0
13784,19,-8,13,0.9,-0.38,0.62,0,0,0
13887,19,-5,13,0.9,-0.24,0.62,0,0,0
13989,21,-9,15,1.0,-0.43,0.71,0,0,0
14093,17,-10,15,0.81,-0.48,0.71,0,0,0
14195,13,-13,13,0.62,-0.62,0.62,0,0,0
14299,10,-12,11,0.48,-0.57,0.52,0,0,0
14401,6,-13,10,0.29,-0.62,0.48,0,0,0
14504,4,-14,12,0.19,-0.67,0.57,0,0,0
14607,3,-16,13,0.14,-0.76,0.62,0,0,0
14710,2,-17,14,0.1,-0.81,0.67,0,0,0
14813,0,-19,13,0.0,-0.9,0.62,0,0,0
14916,3,-16,12,0.14,-0.76,0.57,0,0,0
15019,5,-16,12,0.24,-0.76,0.57,0,0,0
15121,5,-14,11,0.24,-0.67,0.52,0,0,0
15224,9,-16,14,0.43,-0.76,0.67,0,0,0
15327,9,-15,15,0.43,-0.71,0.71,0,0,0
15430,11,-14,15,0.52,-0.67,0.71,0,0,0
15533,14,-14,15,0.67,-0.67,0.71,0,0,0
15636,10,-13,13,0.48,-0.62,0.62,0,0,0
15738,9,-12,12,0.43,-0.57,0.57,0,0,0
15842,11,-14,14,0.52,-0.67,0.67,0,0,0
15944,12,-13,15,0.57,-0.62,0.71,0,0,0
16048,8,-10,15,0.38,-0.48,0.71,0,0,0
16150,10,-13,15,0.48,-0.62,0.71,0,0,0
16253,9,-12,15,0.43,-0.57,0.71,0,0,0
16356,8,-10,16,0.38,-0.48,0.76,0,0,0
16459,7,-17,11,0.33,-0.81,0.52,0,0,0
16562,8,-15,16,0.38,-0.71,0.76,0,0,0
16665,8,-17,15,0.38,-0.81,0.71,0,0,0
16768,8,-13,13,0.38,-0.62,0.62,0,0,0
16871,7,-17,14,0.33,-0.81,0.67,0,0,0
16973,7,-15,12,0.33,-0.71,0.57,0,0,0
17077,6,-15,3,0.29,-0.71,0.14,0,0,0
17179,16,-16,3,0.76,-0.76,0.14,0,0,0
17283,21,-16,5,1.0,-0.76,0.24,0,0,0
17385,21,-15,4,1.05,-0.57,0.24,0,0,0
17488,25,-8,10,1.19,-0.38,0.48,0,0,0
17591,26,-10,17,1.24,-0.48,0.81,0,0,0
17694,14,-6,3,0.67,-0.29,0.14,0,0,0
17797,17,-11,6,0.81,-0.52,0.29,0,0,0
17900,18,-12,7,0.86,-0.57,0.33,0,0,0
18002,19,-13,9,0.9,-0.62,0.43,0,0,0
18106,21,-13,10,1.0,-0.62,0.48,0,0,0
18208,23,-11,9,1.1,-0.52,0.43,0,0,0
18312,15,-10,7,0.71,-0.48,0.33,0,0,0
18414,10,-11,6,0.48,-0.52,0.29,0,0,0
18516,14,-13,5,0.67,-0.62,0.24,0,0,0
18620,13,-10,6,0.62,-0.48,0.29,0,0,0
18722,22,-8,9,1.05,-0.38,0.43,0,0,0
18826,30,1,12,1.43,0.05,0.57,0,0,0
18928,17,-12,1,0.81,-0.57,0.05,0,0,0
19032,16,-4,1,0.76,-0.19,0.05,0,0,0
19134,19,-6,1,0.9,-0.29,0.05,0,0,0
19237,27,-6,3,1.29,-0.29,0.14,0,0,0
19340,24,-10,2,1.14,-0.48,0.1,0,0,0
19443,28,-1,3,1.33,-0.05,0.14,0,0,0
19546,21,-5,3,1.0,-0.24,0.14,0,0,0
19648,21,-7,4,1.0,-0.33,0.19,0,0,0
19751,18,-9,9,0.86,-0.43,0.43,0,0,0
19854,-15,15,0,0.71,-0.71,0.71,0,0,0
19957,14,-11,17,0.67,-0.52,0.81,0,0,0
20060,9,-7,10,0.43,-0.33,0.48,0,0,0
20163,18,-7,9,0.86,-0.33,0.43,0,0,0
20265,14,-22,-22,0.67,-1.05,-1.05,0,0,0
20369,11,-11,4,0.52,-0.52,0.19,0,0,0
20471,18,-11,8,0.86,-0.52,0.38,0,0,0
20575,24,-4,7,1.14,-0.19,0.33,0,0,0
20677,30,-3,5,1.43,-0.14,0.24,0,0,0
20780,30,2,6,1.43,0.1,0.29,0,0,0
20883,24,0,8,1.14,0.0,0.38,0,0,0
20985,22,-7,6,1.05,-0.33,0.29,0,0,0
21089,14,-10,6,0.67,-0.48,0.29,0,0,0
21191,12,-9,6,0.57,-0.43,0.29,0,0,0
21295,16,-6,10,0.76,-0.29,0.48,0,0,0
21397,25,-1,11,1.19,-0.05,0.52,0,0,0
21500,31,-2,8,1.48,-0.1,0.38,0,0,0
21603,22,-2,10,1.1,-0.05,0.52,0,0,0
21705,22,-3,6,1.05,-0.14,0.29,0,0,0
21809,17,-6,7,0.81,-0.29,0.33,0,0,0
21911,12,-6,8,0.57,-0.29,0.38,0,0,0
22014,13,-4,8,0.62,-0.19,0.38,0,0,0
22117,22,-3,10,1.05,-0.14,0.48,0,0,0
22220,24,-4,10,1.14,-0.19,0.48,0,0,0
22323,30,-5,11,1.43,-0.24,0.52,0,0,0
22426,26,-4,9,1.24,-0.19,0.43,0,0,0
22529,19,-3,8,0.9,-0.14,0.38,0,0,0
22632,9,-5,9,0.43,-0.24,0.43,0,0,0
22734,10,-4,9,0.48,-0.19,0.43,0,0,0
22837,23,-1,9,1.1,-0.05,0.43,0,0,0
22940,31,-6,2,1.48,-0.29,0.1,0,0,0
23043,29,-3,0,1.38,-0.14,0.0,0,0,0
23146,17,-1,3,0.81,-0.05,0.14,0,0,0
23248,22,-5,6,1.05,-0.24,0.29,0,0,0
23351,20,-7,5,0.95,-0.33,0.24,0,0,0
23454,22,-6,6,1.05,-0.29,0.29,0,0,0
23557,30,-7,5,1.43,-0.33,0.24,0,0,0
23660,29,-3,8,1.38,-0.14,0.38,0,0,0
23762,29,-8,10,1.38,-0.38,0.48,0,0,0
23866,15,-12,7,0.71,-0.57,0.33,0,0,0
23968,11,-8,1,0.52,-0.38,0.05,0,0,0
24072,7,4,0,0.33,-0.38,0.19,0,0,0
24174,12,-8,2,0.57,-0.38,0.1,0,0,0
24276,25,-10,6,1.19,-0.48,0.29,0,0,0
24380,25,-13,8,1.19,-0.62,0.38,0,0,0
24482,30,-10,5,1.43,-0.48,0.24,0,0,0
24586,21,-7,9,1.0,-0.33,0.43,0,0,0
24688,19,3,7,0.9,0.14,0.33,0,0,0
24792,24,-9,5,1.14,-0.43,0.24,0,0,0
24894,29,1,6,1.38,0.05,0.29,0,0,0
24997,27,-5,3,1.29,-0.24,0.14,0,0,0
25100,26,-6,3,1.24,-0.29,0.14,0,0,0
25202,23,-8,4,1.1,-0.38,0.19,0,0,0
25306,18,-9,2,0.86,-0.43,0.1,0,0,0
25408,15,-14,5,0.71,-0.67,0.24,0,0,0
25511,13,-10,2,0.62,-0.48,0.1,0,0,0
25614,19,-9,3,0.9,-0.43,0.14,0,0,0
25717,18,-12,6,0.86,-0.57,0.29,0,0,0
25820,23,-8,6,1.24,-0.33,0.33,0,0,0
25923,24,-8,7,1.14,-0.38,0.33,0,0,0
26025,21,-7,7,1.0,-0.33,0.33,0,0,0
26128,20,-6,4,0.95,-0.29,0.19,0,0,0
26231,28,-9,6,1.33,-0.43,0.29,0,0,0
26334,26,-7,7,1.24,-0.33,0.33,0,0,0
26437,30,-10,8,1.43,-0.48,0.38,0,0,0
26540,22,-10,7,1.05,-0.48,0.33,0,0,0
26643,15,-7,4,0.71,-0.33,0.19,0,0,0
26745,12,-8,4,0.57,-0.38,0.19,0,0,0
26849,11,-7,6,0.52,-0.33,0.29,0,0,0
26951,20,-9,5,0.95,-0.43,0.24,0,0,0
27054,19,-8,12,0.9,-0.38,0.57,0,0,0
27157,25,-9,11,1.19,-0.43,0.52,0,0,0
27259,21,-8,10,1.0,-0.38,0.48,0,0,0
27363,19,-8,10,0.9,-0.38,0.48,0,0,0
27465,20,-6,10,0.95,-0.29,0.48,0,0,0
27569,22,-8,11,1.05,-0.38,0.52,0,0,0
27671,27,-10,13,1.29,-0.48,0.62,0,0,0
27774,28,-9,9,1.33,-0.43,0.43,0,0,0
27877,28,-8,6,1.33,-0.38,0.29,0,0,0
27980,20,-5,4,0.95,-0.24,0.19,0,0,0
28083,11,-5,5,0.52,-0.24,0.24,0,0,0
28186,12,-6,7,0.57,-0.29,0.33,0,0,0
28289,-5,9,0,0.86,-0.24,0.43,0,0,0
28391,21,-10,10,1.0,-0.48,0.48,0,0,0
28494,25,-12,6,1.19,-0.57,0.29,0,0,0
28597,23,-8,6,1.1,-0.38,0.29,0,0,0
28700,23,-9,8,1.1,-0.43,0.38,0,0,0
28803,22,-6,13,1.05,-0.29,0.62,0,0,0
28906,20,-8,9,0.95,-0.38,0.43,0,0,0
29008,24,-9,9,1.14,-0.43,0.43,0,0,0
29112,27,-6,7,1.29,-0.29,0.33,0,0,0
29214,29,-5,5,1.38,-0.24,0.24,0,0,0
29317,27,-5,2,1.29,-0.24,0.1,0,0,0
29420,18,-6,4,0.86,-0.29,0.19,0,0,0
29522,14,-7,6,0.67,-0.33,0.29,0,0,0
29626,12,-7,6,0.57,-0.33,0.29,0,0,0
29728,20,-8,9,0.95,-0.38,0.43,0,0,0
29832,20,-8,9,0.95,-0.38,0.43,0,0,0
29934,24,-11,8,1.14,-0.52,0.38,0,0,0
30038,23,-10,7,1.14,-0.57,0.33,0,0,0
30140,18,-8,9,0.86,-0.38,0.43,0,0,0
30242,18,-7,9,0.86,-0.33,0.43,0,0,0
30346,25,-9,7,1.19,-0.43,0.33,0,0,0
30448,24,-8,5,1.14,-0.38,0.24,0,0,0
30552,29,-6,5,1.38,-0.29,0.24,0,0,0
30654,27,-6,4,1.29,-0.29,0.19,0,0,0
30757,21,-8,5,1.0,-0.38,0.24,0,0,0
30860,16,-7,7,0.76,-0.33,0.33,0,0,0
30962,14,-7,6,0.67,-0.33,0.29,0,0,0
31066,16,-6,8,0.76,-0.29,0.38,0,0,0
31168,20,-8,7,0.95,-0.38,0.33,0,0,0
31271,25,-8,8,1.19,-0.38,0.38,0,0,0
31374,24,-10,7,1.14,-0.48,0.33,0,0,0
31477,23,-8,7,1.1,-0.38,0.33,0,0,0
31580,19,-5,7,0.9,-0.24,0.33,0,0,0
31683,21,-7,7,1.0,-0.33,0.33,0,0,0
31785,26,-5,5,1.29,-0.33,0.14,0,0,0
31888,25,-6,2,1.19,-0.29,0.1,0,0,0
31991,29,-4,3,1.38,-0.19,0.14,0,0,0
32094,24,-9,3,1.14,-0.43,0.14,0,0,0
32197,18,-8,3,0.86,-0.38,0.14,0,0,0
32300,14,-6,5,0.67,-0.29,0.24,0,0,0
